33面目 10手 荷物3 (5回試して 4秒)
34面目 12手 荷物2 (9回試して 10秒)
35面目 6手 荷物2 (15回試して 10秒)
36面目 7手 荷物2 (16回試して 10秒)
37面目 9手 荷物2 (31回試して 19秒)
38面目 6手 荷物2 (44回試して 24秒)
39面目 7手 荷物2 (74回試して 25秒)
40面目 6手 荷物2 (96回試して 36秒)
41面目 7手 荷物2 (99回試して 36秒)
42面目 8手 荷物2 (113回試して 50秒)
43面目 13手 荷物2 (119回試して 51秒)
44面目 9手 荷物2 (125回試して 51秒)
45面目 7手 荷物2 (137回試して 54秒)
46面目 6手 荷物2 (139回試して 55秒)
47面目 6手 荷物2 (146回試して 59秒)
48面目 8手 荷物2 (173回試して 114秒)
49面目 8手 荷物2 (184回試して 115秒)
50面目 8手 荷物2 (185回試して 115秒)

tools/stock/gen-ant-c.json に 50面 (185回試行 / 115.5秒)
